기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
제이엘씨,중소기업,서울 서초구,부동산 중개 및 대리업,-,-,이종일,-
제이엘씨,중소기업,경기 오산시,소방시설 공사업,1억원,10억 4천만원,이화준,2023.06.26
제이엘씨,중소기업,경기 광주시,모피 및 가죽 제조업,1억원,10억 8백만원,강대식,2015.12.16
제이엘씨,중소기업,전북 전주시,기타 가공식품 도매업,"5,000만원","6억 4,068만원",신지웅,2015.09.15
제이엘씨,중소기업,경기 용인시,부동산·중개·임대,"5,000만원",-,이채영,2017
유창이앤씨,중견기업,서울 양천구,건축·설비·환경,278억 7천만원,999억9200만,"조우제,조용재",1974.07.01
유창이앤씨,중소기업,경기 화성시,기타 절연선 및 케이블 제조업,2억원,173억 9천만원,전이섭,2002.01.01
유창이앤씨,중소기업,경기 남양주시,건설·시공·토목·조경,,,,
휴먼엘지,중소기업,서울 서초구,비주거용 건물 임대업,,,,
피엘에쓰,중소기업,경북 경주시,경영 컨설팅업,,,,
하은메디스,중소기업,서울 서대문구,제약·보건·바이오,,,,
유진종합건설,중소기업,인천 미추홀구,기타 토목시설물 건설업,,,,
유진종합건설,중소기업,경기 화성시,기타 공동 주택 건설업,,,,
유진종합건설,중소기업,경기 안산시,건물 건설업,,,,
유진종합건설,중소기업,경남 밀양시,아파트 건설업,,,,
유진종합건설,중소기업,경남 김해시,기타 비주거용 건물 건설업,,,,
범아상사,중소기업,부산 중구,"화물 포장, 검수 및 계량 서비스업",,,,
범아상사,중소기업,울산 남구,"기타 기술 시험, 검사 및 분석업",,,,
범아상사,중소기업,서울 강남구,기타 화학물질 및 화학제품 도매업,,,,
범아상사,중소기업,경기 부천시,"철물, 금속 파스너 및 수공구 도매업",,,,
